url,car,price,model year,VIN,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,pic,
https://mendocino.craigslist.org/cto/d/elk-1989-toyota-4runner-22r-5-sp-manual/7077853327.html,1989 Toyota 4Runner 4wd manual,3400,1989,,good,4cylinders,4wd,gas,227503,red,,clean,manual,SUV,https://images.craigslist.org/00E0E_bOQbvruNw4K_600x450.jpg,
https://mendocino.craigslist.org/cto/d/calpella-1987-toyota-4runner/7075904444.html,1987 Toyota 4runner,4000,1987,,,4cylinders,4wd,gas,,,,clean,manual,,https://images.craigslist.org/00J0J_3GqXHRW0Br_600x450.jpg,
https://mendocino.craigslist.org/ctd/d/finley-2004-toyota-4runner-4x4-sr5/7070574201.html,2004 toyota 4runner 4wd SR5 SPORT,6900,2004,JTEBU14R548024499,excellent,6cylinders,4wd,gas,223660,black,,salvage,automatic,SUV,https://images.craigslist.org/01111_zQBcp5g4DZ_600x450.jpg,
https://medford.craigslist.org/ctd/d/medford-2006-toyota-4runner-sr5-146k-we/7080024520.html,2006 toyota 4runner,1000,2006,,excellent,6cylinders,,gas,146000,silver,mid-size,clean,automatic,SUV,https://images.craigslist.org/00101_9uGwTtpT31h_600x450.jpg,
https://medford.craigslist.org/ctd/d/gladstone-2006-toyota-4runner-4x4-4/7079896647.html,2006 Toyota 4Runner Limited 4WD SUV,0,,JTEBU17R868060251,likenew,6cylinders,4wd,gas,209973,silver,,clean,automatic,SUV,https://images.craigslist.org/00F0F_iuevQcgh2jW_600x450.jpg,
https://medford.craigslist.org/ctd/d/gladstone-2013-toyota-4runner-4x4-awd/7079876935.html,2013 Toyota 4Runner Limited LIFTED 4,0,,JTEBU5JR8D5127851,likenew,6cylinders,4wd,gas,129200,white,full-size,clean,automatic,SUV,https://images.craigslist.org/00909_2daNDn8gJhR_600x450.jpg,
https://medford.craigslist.org/cto/d/grants-pass-1998-toyota-4runner-manual/7079876491.html,1998 toyota 4runner sr5,5300,1998,,,,,gas,,,,rebuilt,manual,,https://images.craigslist.org/00f0f_4RgXQCnMbAZ_600x450.jpg,
https://medford.craigslist.org/ctd/d/portland-2019-toyota-4runner-4x4-3rd/7079744728.html,2019 Toyota 4Runner,38997,2019,JTEBU5JR2K5646939,,6cylinders,4wd,gas,19806,,,clean,automatic,SUV,https://images.craigslist.org/00Z0Z_3QY760IWnWx_600x450.jpg,
https://medford.craigslist.org/ctd/d/portland-2004-toyota-4runner-4x4-lifted/7079646983.html,2004 Toyota 4Runner SR5,17997,2004,JTEBU14R548021344,,6cylinders,4wd,gas,143380,,,clean,automatic,SUV,https://images.craigslist.org/00o0o_jcL1hK3mA6n_600x450.jpg,
https://medford.craigslist.org/cto/d/grants-pass-2015-toyota-4runner/7079436293.html,2015 toyota 4runner limited,31000,2015,,,,,gas,,,,clean,automatic,,https://images.craigslist.org/00n0n_jyFLkN52gj0_600x450.jpg,
https://medford.craigslist.org/cto/d/white-city-runner-sr5-4x4-34/7079346470.html,1998 1998 toyota 4runner,3850,1998,,good,6cylinders,4wd,gas,,brown,mid-size,clean,automatic,SUV,https://images.craigslist.org/00I0I_9NSunsRwJli_600x450.jpg,
https://medford.craigslist.org/cto/d/central-point-85-4runner-crawler/7077842701.html,1985 Toyota 4Runner,4750,1985,,salvage,6cylinders,4wd,gas,253,black,,salvage,automatic,SUV,https://images.craigslist.org/00p0p_dv58W18pGFX_600x450.jpg,
https://medford.craigslist.org/cto/d/white-city-runner-sr5-4x4-34/7076734517.html,1998 1998 toyota 4runner,3850,1998,,good,6cylinders,4wd,gas,,brown,mid-size,clean,automatic,SUV,https://images.craigslist.org/00I0I_9NSunsRwJli_600x450.jpg,
https://medford.craigslist.org/ctd/d/gladstone-2006-toyota-4runner-4x4-4/7076550910.html,2006 Toyota 4Runner Limited 4WD SUV,0,,JTEBU17R868060251,likenew,6cylinders,4wd,gas,209973,silver,,clean,automatic,SUV,https://images.craigslist.org/00F0F_iuevQcgh2jW_600x450.jpg,
https://medford.craigslist.org/ctd/d/gladstone-2013-toyota-4runner-4x4-awd/7076494124.html,2013 Toyota 4Runner Limited LIFTED 4,0,,JTEBU5JR8D5127851,likenew,6cylinders,4wd,gas,129200,white,full-size,clean,automatic,SUV,https://images.craigslist.org/00909_2daNDn8gJhR_600x450.jpg,
https://medford.craigslist.org/ctd/d/portland-2019-toyota-4runner-4x4-3rd/7075320791.html,2019 Toyota 4Runner,38997,2019,JTEBU5JR2K5646939,,6cylinders,4wd,gas,19806,,,clean,automatic,SUV,https://images.craigslist.org/00Z0Z_3QY760IWnWx_600x450.jpg,
https://medford.craigslist.org/ctd/d/portland-2004-toyota-4runner-4x4-lifted/7075234310.html,2004 Toyota 4Runner,17997,2004,JTEBU14R548021344,,6cylinders,4wd,gas,143380,,,clean,automatic,SUV,https://images.craigslist.org/00o0o_jcL1hK3mA6n_600x450.jpg,
https://medford.craigslist.org/cto/d/ashland-mechanics-special/7074199564.html,1995 toyota 4runner,2500,1995,,fair,6cylinders,4wd,gas,290000,custom,mid-size,clean,automatic,SUV,https://images.craigslist.org/01111_zLZoL7m24Z_600x450.jpg,
https://medford.craigslist.org/cto/d/grants-pass-2003-toyota-4runner-sport/7074017111.html,2003 toyota 4runner,8500,2003,,excellent,8cylinders,4wd,gas,190000,black,,clean,automatic,,https://images.craigslist.org/00C0C_kjuZP6WqddO_600x450.jpg,
https://medford.craigslist.org/cto/d/white-city-runner-sr5-4x4-34/7073624403.html,1998 1998 toyota 4runner,3850,1998,,good,6cylinders,4wd,gas,,brown,mid-size,clean,automatic,SUV,https://images.craigslist.org/00I0I_9NSunsRwJli_600x450.jpg,
https://medford.craigslist.org/cto/d/ashland-4runner-5-speed-manual/7072989139.html,1992 toyota 4runner sr5 4wd,3750,1992,JT3VN39W2N8043493,excellent,6cylinders,4wd,gas,313600,silver,mid-size,clean,manual,SUV,https://images.craigslist.org/00606_eC6pV0GxHPx_600x450.jpg,
https://medford.craigslist.org/ctd/d/portland-2014-toyota-4runner-awd-all/7070967279.html,2014 Toyota 4Runner,25950,2014,JTEBU5JR1E5181851,,6cylinders,4wd,gas,113620,,,clean,automatic,SUV,https://images.craigslist.org/00Q0Q_eUHDlwnQr8B_600x450.jpg,
https://medford.craigslist.org/ctd/d/portland-2019-toyota-4runner-4x4-3rd/7070951509.html,2019 Toyota 4Runner,38997,2019,JTEBU5JR2K5646939,,6cylinders,4wd,gas,19806,,,clean,automatic,SUV,https://images.craigslist.org/00Z0Z_3QY760IWnWx_600x450.jpg,
https://medford.craigslist.org/ctd/d/portland-2004-toyota-4runner-4x4-lifted/7070858386.html,2004 Toyota 4Runner,17997,2004,JTEBU14R548021344,,6cylinders,4wd,gas,143380,,,clean,automatic,SUV,https://images.craigslist.org/00o0o_jcL1hK3mA6n_600x450.jpg,
https://medford.craigslist.org/ctd/d/portland-2008-toyota-4runner-4x4-4wd-4/7070814149.html,2008 Toyota 4Runner,15950,2008,JTEBU14R08K008820,,6cylinders,4wd,gas,186992,,,clean,automatic,SUV,https://images.craigslist.org/01010_9ruf29fVkMp_600x450.jpg,
https://medford.craigslist.org/ctd/d/gladstone-2006-toyota-4runner-4x4-4/7070477415.html,2006 Toyota 4Runner,0,,JTEBU17R868060251,likenew,6cylinders,4wd,gas,209973,silver,,clean,automatic,SUV,https://images.craigslist.org/00F0F_iuevQcgh2jW_600x450.jpg,
https://medford.craigslist.org/ctd/d/gladstone-2013-toyota-4runner-4x4-awd/7070399056.html,2013 Toyota 4Runner,0,,JTEBU5JR8D5127851,likenew,6cylinders,4wd,gas,129200,white,full-size,clean,automatic,SUV,https://images.craigslist.org/00909_2daNDn8gJhR_600x450.jpg,
https://medford.craigslist.org/ctd/d/gladstone-2006-toyota-4runner-4x4-4/7070338877.html,2006 Toyota 4Runner,0,,JTEBU17R868060251,likenew,6cylinders,4wd,gas,209973,silver,,clean,automatic,SUV,https://images.craigslist.org/00F0F_iuevQcgh2jW_600x450.jpg,
https://medford.craigslist.org/cto/d/kerby-1998-toyota-4runner/7069676265.html,1998 toyota 4runner,3500,1998,,,,4wd,gas,,,,clean,automatic,,https://images.craigslist.org/00z0z_bwdlaedEaeE_600x450.jpg,
https://medford.craigslist.org/ctd/d/portland-toyota-4runner-sr5-sport/7067789849.html,2015 Toyota 4Runner,24988,2015,JTEBU5JR5F5218286,,6cylinders,4wd,gas,89642,custom,,clean,automatic,SUV,https://images.craigslist.org/00I0I_adPH7obgDPj_600x450.jpg,
https://medford.craigslist.org/ctd/d/portland-toyota-4runner-sr5-sport/7067764940.html,2015 Toyota 4Runner,24988,2015,JTEBU5JR5F5218286,,6cylinders,4wd,gas,89642,custom,,clean,automatic,SUV,https://images.craigslist.org/00I0I_adPH7obgDPj_600x450.jpg,
https://medford.craigslist.org/ctd/d/medford-2006-toyota-4runner-sr5-146k/7066878094.html,2006 toyota 4runner sr5,7450,2006,,excellent,6cylinders,,gas,146000,white,mid-size,clean,automatic,SUV,https://images.craigslist.org/00101_9uGwTtpT31h_600x450.jpg,
https://medford.craigslist.org/ctd/d/portland-2019-toyota-4runner-4x4-3rd/7066625249.html,2019 Toyota 4Runner,38997,2019,JTEBU5JR2K5646939,,6cylinders,4wd,gas,19806,,,clean,automatic,SUV,https://images.craigslist.org/00Z0Z_3QY760IWnWx_600x450.jpg,
https://medford.craigslist.org/ctd/d/portland-2004-toyota-4runner-4x4-lifted/7066528853.html,2004 Toyota 4Runner,17997,2004,JTEBU14R548021344,,6cylinders,4wd,gas,143380,,,clean,automatic,SUV,https://images.craigslist.org/00o0o_jcL1hK3mA6n_600x450.jpg,
https://medford.craigslist.org/ctd/d/gladstone-2013-toyota-4runner-4x4-awd/7065588695.html,2013 Toyota 4Runner,0,,JTEBU5JR8D5127851,likenew,6cylinders,4wd,gas,129200,white,full-size,clean,automatic,SUV,https://images.craigslist.org/00909_2daNDn8gJhR_600x450.jpg,
https://medford.craigslist.org/cto/d/central-point-toyota-4runner-22re-new/7065461594.html,1988 Toyota 4runner,4200,1988,,,,,gas,5300,,,clean,automatic,,https://images.craigslist.org/00M0M_fWuazmMUWsX_600x450.jpg,
https://medford.craigslist.org/cto/d/central-point-runner-sr5-very-clean/7065041952.html,2018 2018 Toyota 4Runner,31900,2018,,likenew,6cylinders,4wd,gas,22250,white,,clean,automatic,SUV,https://images.craigslist.org/00101_dmtMBE8m1R1_600x450.jpg,
https://medford.craigslist.org/ctd/d/ashland-2017-toyota-4runner-trd-pro/7064917675.html,2017 toyota 4runner,39950,2017,JTEBU5JR1H5419394,excellent,6cylinders,4wd,gas,41800,,,clean,automatic,,https://images.craigslist.org/00T0T_7wXD3gDbkzu_600x450.jpg,
https://chico.craigslist.org/cto/d/chico-2007-toyota-4runner-limited/7080265960.html,2007 2007 toyota 4runner,9500,2007,,,,,gas,,,,clean,automatic,,https://images.craigslist.org/00M0M_34PWBiJ6rC9_600x450.jpg,
https://chico.craigslist.org/ctd/d/chico-2004-toyota-4runner-limited/7076686272.html,2004 Toyota 4Runner,6995,2004,JTEBU17RX48025157,,6cylinders,4wd,gas,266069,blue,,clean,automatic,,https://images.craigslist.org/00n0n_hDdtCKnf1Xe_600x450.jpg,
https://chico.craigslist.org/cto/d/chico-multiple-vehicles-for-sale/7073394374.html,2005 toyota 4runner,1234,2005,,fair,other,fwd,gas,,custom,full-size,lien,automatic,other,https://images.craigslist.org/00P0P_4Izp6xVIQox_600x450.jpg,
https://chico.craigslist.org/cto/d/chico-runner-offrd-premium/7072445147.html,2019 toyota 4runner trd offrd premium,41000,2019,,likenew,6cylinders,4wd,gas,11390,grey,,clean,automatic,SUV,https://images.craigslist.org/01010_ke5FLuKMK89_600x450.jpg,
https://chico.craigslist.org/ctd/d/chico-2004-toyota-4runner-sr5-sport/7072371052.html,2004 Toyota 4Runner,7995,2004,JTEBU14R440023214,,6cylinders,4wd,gas,224726,,,clean,automatic,,https://images.craigslist.org/00Q0Q_ff5bCXVqjwh_600x450.jpg,
https://chico.craigslist.org/ctd/d/chico-2003-toyota-4runner-sr5-2wd/7071325269.html,2003 Toyota 4Runner SR5  **2WD**,6995,2003,JTEZT14RX30005042,,,rwd,gas,213000,blue,,clean,automatic,SUV,https://images.craigslist.org/00F0F_agRkO6QrasS_600x450.jpg,
https://chico.craigslist.org/ctd/d/sacramento-2015-toyota-4runner-4wd-4/7069560322.html,2015 Toyota 4Runner,32995,2015,JTEBU5JR5F5219986,,6cylinders,4wd,gas,97227,,,clean,automatic,SUV,https://images.craigslist.org/00w0w_6d3rAzkIhri_600x450.jpg,
https://chico.craigslist.org/ctd/d/sacramento-2007-toyota-4runner-sr-down/7066890392.html,2007 Toyota 4Runner SR5,13995,2007,JTEZT14R178012081,,8cylinders,rwd,gas,76670,silver,,clean,automatic,SUV,https://images.craigslist.org/00707_iVhdBtUoq7r_600x450.jpg,
https://chico.craigslist.org/ctd/d/sacramento-2010-toyota-4runner-sr-down/7066890308.html,2010 Toyota 4Runner SR5,17995,2010,JTEBU5JR3A5004227,,6cylinders,4wd,gas,119790,silver,,clean,automatic,SUV,https://images.craigslist.org/00a0a_IVDgBLteFu_600x450.jpg,
https://chico.craigslist.org/cto/d/chico-2008-toyota-4-runner/7066643772.html,2008 toyota 4runner,13000,2008,,good,6cylinders,4wd,gas,158000,silver,,clean,automatic,,https://images.craigslist.org/00q0q_8gE7vFKlcza_600x450.jpg,
https://chico.craigslist.org/ctd/d/sacramento-2007-toyota-4runner-sr-down/7065648439.html,2007 Toyota 4Runner SR5,13995,2007,JTEZT14R178012081,,8cylinders,rwd,gas,76670,silver,,clean,automatic,SUV,https://images.craigslist.org/00707_iVhdBtUoq7r_600x450.jpg,
https://chico.craigslist.org/ctd/d/sacramento-2010-toyota-4runner-sr-down/7065648364.html,2010 Toyota 4Runner SR5,17995,2010,JTEBU5JR3A5004227,,6cylinders,4wd,gas,119790,silver,,clean,automatic,SUV,https://images.craigslist.org/00a0a_IVDgBLteFu_600x450.jpg,
https://klamath.craigslist.org/cto/d/klamath-falls-2003-toyota-4runner-sport/7076146773.html,2003 toyota 4runner,7200,2003,JTEBT14R430002235,excellent,8cylinders,4wd,gas,240000,silver,full-size,clean,automatic,SUV,https://images.craigslist.org/00000_6eerp5kr1Gu_600x450.jpg,
https://klamath.craigslist.org/ctd/d/portland-toyota-4runner-sr5-sport/7067789753.html,2015 Toyota 4Runner,24988,2015,JTEBU5JR5F5218286,,6cylinders,4wd,gas,89642,custom,,clean,automatic,SUV,https://images.craigslist.org/00I0I_adPH7obgDPj_600x450.jpg,
https://klamath.craigslist.org/ctd/d/portland-toyota-4runner-sr5-sport/7067764856.html,2015 Toyota 4Runner,24988,2015,JTEBU5JR5F5218286,,6cylinders,4wd,gas,89642,custom,,clean,automatic,SUV,https://images.craigslist.org/00I0I_adPH7obgDPj_600x450.jpg,
