url,car,price,model year,VIN,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,
https://humboldt.craigslist.org/cto/d/blue-lake-2008-nissan-frontier-x4/7076141463.html,2008 nissan frontier crew cab  4x4,8500,2008,,good,6 cylinders,4wd,gas,111000,red,mid-size,clean,automatic,truck,
https://humboldt.craigslist.org/cto/d/arcata-04-nissan-frontier-supercharged/7067734952.html,2004 nissan frontier crew cab,5500,2004,,good,6 cylinders,4wd,gas,191000,silver,,clean,automatic,pickup,
https://redding.craigslist.org/cto/d/redding-truck-nissan-fronter/7076176693.html,2002 nissan frontier,7000,2002,,good,6 cylinders,4wd,gas,199200,white,mid-size,clean,automatic,truck,
https://medford.craigslist.org/cto/d/central-point-2013-nissan-frontier-4x4/7072340742.html,2013 nissan frontier crew cab,13850,2013,1n6ad0ev0dn728050,excellent,6 cylinders,4wd,gas,105253,red,mid-size,clean,automatic,pickup,
https://medford.craigslist.org/cto/d/murphy-2018-nissan-frontier-king-cab/7064884064.html,2018 nissan frontier,18500,2018,1N6BD0CT5JN722200,like new,4 cylinders,rwd,gas,1950,silver,mid-size,clean,automatic,pickup,
https://medford.craigslist.org/cto/d/shady-cove-nissan-frontier-ex-cab/7060818653.html,2012 Nissan frontier Ex cab,14000,2012,,,,,gas,,,,clean,automatic,,
https://chico.craigslist.org/cto/d/chico-2011-nissan-frontier-sv-4x4/7074383690.html,2011 nissan frontier sv,10200,2011,,good,,,gas,,white,,clean,automatic,,
https://chico.craigslist.org/cto/d/oroville-2001-nissan-frontier-sc/7071746042.html,2001 Nissan Frontier SC,5000,2001,,good,6 cylinders,rwd,gas,143000,green,,clean,manual,pickup,
